"","FULLID","MODEL","EXPVAL","EXPERR","CASE","EALF","AFGE","FISSG1","FISSG2","FISSG3","CAPG1","CAPG2","CAPG3","AM241WPCT","AM243WPCT","PU238WPCT","PU239WPCT","PU240WPCT","PU241WPCT","PU242WPCT","U232WPCT","U233WPCT","U234WPCT","U235WPCT","U236WPCT","U238WPCT","PU_UPURATIO","MOD_COOLANT","MODRATIO_TYPE","MODRATIO","MODTOFUELRATIO","MODTOFISSRATIO","FISS","FORM","SPEC","CASETYPE"
"1","HEU-COMP-FAST-003-001",NA,1,0.0085,"HEU-COMP-FAST-003",23700,20100,0.102,0.32,0.578,0.267,0.457,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","FAST","HEU-COMP-FAST"
"2","HEU-COMP-INTER-003-001",NA,1,0.0057,"HEU-COMP-INTER-003",3190,7070,0.043,0.642,0.315,0.022,0.877,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"3","HEU-COMP-INTER-003-002",NA,1,0.0061,"HEU-COMP-INTER-003",2450,4070,0.048,0.658,0.295,0.024,0.885,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"4","HEU-COMP-INTER-003-003",NA,1,0.0056,"HEU-COMP-INTER-003",2460,4100,0.048,0.657,0.295,0.024,0.885,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"5","HEU-COMP-INTER-003-004",NA,1,0.0055,"HEU-COMP-INTER-003",3080,4980,0.044,0.64,0.316,0.023,0.879,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"6","HEU-COMP-INTER-003-005",NA,1,0.0047,"HEU-COMP-INTER-003",3240,3300,0.044,0.636,0.32,0.023,0.879,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"7","HEU-COMP-INTER-003-006",NA,1,0.0047,"HEU-COMP-INTER-003",3730,5230,0.041,0.627,0.332,0.022,0.875,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"8","HEU-COMP-INTER-003-007",NA,1,0.005,"HEU-COMP-INTER-003",3770,5240,0.041,0.627,0.332,0.022,0.874,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"9","HEU-COMP-INTER-004-001",NA,1,0.004,"HEU-COMP-INTER-004",132,138,0.039,0.907,0.055,0.057,0.924,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115,0.9228,0.0016,0.0642,0,"Graphite",NA,NA,279.2165,302.3581,"HEU","COMP","INTER","HEU-COMP-INTER"
"10","HEU-COMP-INTER-005-001",NA,1.032,0.004,"HEU-COMP-INTER-005",5120,4630,0.001,0.712,0.287,0.001,0.634,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"11","HEU-COMP-INTER-005-002",NA,1.05,0.008,"HEU-COMP-INTER-005",3590,3360,0,0.794,0.206,0,0.836,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"12","HEU-COMP-INTER-005-003",NA,1.03,0.006,"HEU-COMP-INTER-005",7210,6640,0,0.752,0.247,0,0.821,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"13","HEU-COMP-INTER-005-004",NA,1.064,0.018,"HEU-COMP-INTER-005",4400,4090,0,0.823,0.177,0,0.849,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"14","HEU-COMP-INTER-005-005",NA,0.997,0.013,"HEU-COMP-INTER-005",4140,3900,0.002,0.815,0.183,0.001,0.886,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"15","HEU-COMP-MIXED-002-004",NA,1,0.0087,"HEU-COMP-MIXED-002",3990,3640,0.167,0.378,0.455,0.313,0.499,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"16","HEU-COMP-MIXED-002-005",NA,1,0.0089,"HEU-COMP-MIXED-002",5360,4750,0.135,0.41,0.455,0.23,0.571,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"17","HEU-COMP-MIXED-002-008",NA,1,0.0068,"HEU-COMP-MIXED-002",237,260,0.343,0.338,0.319,0.561,0.341,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"18","HEU-COMP-MIXED-002-009",NA,1,0.0076,"HEU-COMP-MIXED-002",250,275,0.345,0.328,0.327,0.577,0.325,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"19","HEU-COMP-MIXED-002-018",NA,1,0.0111,"HEU-COMP-MIXED-002",5510,4880,0.134,0.409,0.457,0.231,0.569,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
