"","FULLID","MODEL","CODE","INST","LIBVER","CALCVAL","CALCERR"
"1","HEU-COMP-FAST-003-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.98667,4e-04
"2","HEU-COMP-FAST-003-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.98466,0.00041
"3","HEU-COMP-INTER-004-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01488,0.00027
"4","HEU-COMP-INTER-004-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.02203,0.00024
"5","HEU-COMP-INTER-005-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.04825,2e-04
"6","HEU-COMP-INTER-005-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01118,0.00021
"7","HEU-COMP-INTER-005-002",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.08477,0.00018
"8","HEU-COMP-INTER-005-002",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.10106,0.00018
"9","HEU-COMP-INTER-005-003",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.0431,2e-04
"10","HEU-COMP-INTER-005-003",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.05343,2e-04
"11","HEU-COMP-INTER-005-004",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.18387,0.00019
"12","HEU-COMP-INTER-005-004",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.18035,0.00022
"13","HEU-COMP-INTER-005-005",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.96458,0.00021
"14","HEU-COMP-INTER-005-005",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.94897,0.00023
"15","HEU-COMP-MIXED-002-004",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.9915,0.00036
"16","HEU-COMP-MIXED-002-004",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99287,0.00043
"17","HEU-COMP-MIXED-002-005",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99199,0.00044
"18","HEU-COMP-MIXED-002-005",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99068,0.00044
"19","HEU-COMP-MIXED-002-008",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99158,0.00044
"20","HEU-COMP-MIXED-002-008",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.9917,0.00042
"21","HEU-COMP-MIXED-002-009",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.98839,0.00038
"22","HEU-COMP-MIXED-002-009",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.98682,0.00044
"23","HEU-COMP-MIXED-002-018",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.98494,0.00042
"24","HEU-COMP-MIXED-002-018",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.98568,0.00047
"25","HEU-COMP-MIXED-002-019",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.98837,0.00041
"26","HEU-COMP-MIXED-002-019",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.98921,0.00042
"27","HEU-COMP-THERM-002-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01214,0.00047
"28","HEU-COMP-THERM-002-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01096,0.00047
"29","HEU-COMP-THERM-002-002",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.0138,0.00048
"30","HEU-COMP-THERM-002-002",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01366,0.00046
"31","HEU-COMP-THERM-002-003",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01761,0.00044
